policy.number,total
PPK0001000,2062
PPK0001001,9076
PPK0001002,5390
PPK0001003,3685
PPK0001004,4784
PPK0001005,1559
PPK0001007,5496
PPK0001008,2004
PPK0001009,4274
PPK0001010,4069
PPK0001011,3131
PPK0001012,1963
PPK0001013,1225
PPK0001014,3871
PPK0001015,2085
PPK0001016,2558
PPK0001019,7734
PPK0001020,2505
PPK0001021,2394
PPK0001022,1587
PPK0001023,1865
PPK0001024,1997
PPK0001026,2214
PPK0001027,5447
PPK0001028,4135
PPK0001029,2797
PPK0001030,2760
PPK0001031,2515
PPK0001032,5223
PPK0001033,1767
PPK0001034,2994
PPK0001035,2704
PPK0001036,3238
PPK0001037,3032
PPK0001038,1421
PPK0001039,2116
PPK0001040,2524
PPK0001041,7063
PPK0001042,8080
PPK0001043,1542
PPK0001044,3054
PPK0001045,2250
PPK0001046,4331
PPK0001047,2299
PPK0001048,2792
PPK0001049,1775
PPK0001050,2289
PPK0001051,2059
PPK0001052,2997
PPK0001053,4024
PPK0001054,5116
PPK0001055,2355
PPK0001056,5037
PPK0001057,3834
PPK0001058,4586
PPK0001059,2868
PPK0001060,4085
PPK0001061,1285
PPK0001062,2425
PPK0001063,2350
PPK0001064,1890
PPK0001065,2525
PPK0001068,1747
PPK0001070,2704
PPK0001071,809
PPK0001072,3047
PPK0001073,1494
PPK0001074,744
PPK0001075,3610
PPK0001076,2941
PPK0001077,1340
PPK0001078,2202
PPK0001079,1590
PPK0001080,1927
PPK0001081,2478
PPK0001082,5110
PPK0001083,2851
PPK0001084,3564
PPK0001085,2123
PPK0001086,2975
PPK0001087,4821
PPK0001088,1829
PPK0001089,
PPK0001090,1745
PPK0001091,2098
PPK0001093,1745
PPK0001094,5055
PPK0001095,1632
PPK0001096,1914
PPK0001097,1614
PPK0001098,2390
PPK0001099,1766
PPK0001100,2862
PPK0001101,4701
PPK0001102,3370
PPK0001103,1130
PPK0001104,1791
PPK0001105,2697
PPK0001106,2420
PPK0001107,1951
PPK0001108,887
PPK0001109,4121
PPK0001110,2517
PPK0001111,1688
PPK0001112,3558
PPK0001113,5260
PPK0001114,3422
PPK0001115,3527
PPK0001116,3968
PPK0001117,2770
PPK0001118,8159
PPK0001119,2051
PPK0001120,3244
PPK0001121,7186
PPK0001122,4707
PPK0001123,2736
PPK0001124,2238
PPK0001125,1220
PPK0001126,1947
PPK0001127,2922
PPK0001128,1518
PPK0001130,2814
PPK0001131,3757
PPK0001132,4234
PPK0001133,1950
PPK0001134,6996
PPK0001135,6635
PPK0001136,1521
PPK0001137,6043
PPK0001138,1520
PPK0001139,2810
PPK0001140,1384
PPK0001141,1850
PPK0001142,2558
PPK0001143,3056
PPK0001144,2855
PPK0001145,3533
PPK0001146,1958
PPK0001147,3121
PPK0001148,2400
PPK0001149,947
PPK0001150,2105
PPK0001151,3512
PPK0001152,11828
PPK0001153,1731
PPK0001154,8153
PPK0001155,5275
PPK0001156,1608
PPK0001157,2205
PPK0001158,2981
PPK0001160,3179
PPK0001161,5907
PPK0001162,1476
PPK0001163,5826
PPK0001164,1505
PPK0001165,12828
PPK0001166,8484
PPK0001167,2432
PPK0001168,5921
PPK0001169,1171
PPK0001170,4086
PPK0001171,6674
PPK0001172,2700
PPK0001173,2140
PPK0001174,2582
PPK0001175,1888
PPK0001176,2631
PPK0001177,1017
PPK0001178,3561
PPK0001179,2054
PPK0001180,2114
PPK0001181,2278
PPK0001182,4194
PPK0001183,1995
PPK0001184,2164
PPK0001185,907
PPK0001186,4876
PPK0001187,3283
PPK0001188,7245
PPK0001189,3823
PPK0001190,3133
PPK0001191,1005
PPK0001192,2906
PPK0001193,1783
PPK0001194,3595
PPK0001195,2712
PPK0001196,4809
PPK0001197,13165
PPK0001198,2708
PPK0001199,1993
PPK0001200,2993
PPK0001201,3427
PPK0001202,7417
PPK0001203,2703
PPK0001204,4174
PPK0001205,5012
PPK0001206,1400
PPK0001207,1398
PPK0001208,3420
PPK0001209,1499
PPK0001210,2265
PPK0001211,8683
PPK0001212,4084
PPK0001213,1922
PPK0001214,1897
PPK0001215,5924
PPK0001216,2383
PPK0001217,1045
PPK0001218,2821
PPK0001219,3429
PPK0001220,2010
PPK0001221,1998
PPK0001222,926
PPK0001223,2997
PPK0001224,3677
PPK0001225,1813
PPK0001226,2722
PPK0001227,1911
PPK0001228,8938
PPK0001229,2362
PPK0001230,5330
PPK0001231,2051
PPK0001232,1678
PPK0001233,1759
PPK0001234,404
PPK0001235,1678
PPK0001236,2917
PPK0001237,1855
PPK0001238,2638
PPK0001239,1223
PPK0001240,2377
PPK0001241,1694
PPK0001242,4937
PPK0001243,2095
PPK0001244,1981
PPK0001245,1146
PPK0001246,2384
PPK0001247,2385
PPK0001249,2716
PPK0001250,1794
PPK0001251,2965
PPK0001252,4580
PPK0001253,3468
PPK0001254,4136
PPK0001255,3223
PPK0001256,1698
PPK0001257,4275
PPK0001258,4250
PPK0001259,4094
PPK0001260,3428
PPK0001261,5355
PPK0001262,3833
PPK0001263,2175
PPK0001264,1526
PPK0001265,2812
PPK0001266,5585
PPK0001267,3661
PPK0001269,2976
PPK0001270,8114
PPK0001271,1082
PPK0001272,7146
PPK0001273,1919
PPK0001274,2348
PPK0001275,600
PPK0001278,913
PPK0001279,1280
PPK0001280,1346
PPK0001281,2060
PPK0001282,2070
PPK0001283,817
PPK0001284,2858
PPK0001285,2093
PPK0001286,698
PPK0001287,3007
PPK0001288,3834
PPK0001289,4545
PPK0001290,3092
PPK0001291,1144
PPK0001292,2530
PPK0001294,1741
PPK0001295,1806
PPK0001296,3161
PPK0001297,2288
PPK0001298,2231
PPK0001299,2060
PPK0001300,
PPK0001301,2539
PPK0001302,1956
PPK0001303,1802